symbol,1h_EMA21_SLOPE_BPS,1h_SMA40_SLOPE_BPS,1h_SMA50_SLOPE_BPS,1h_SMA150_SLOPE_BPS,4h_EMA21_SLOPE_BPS,4h_SMA40_SLOPE_BPS,4h_SMA50_SLOPE_BPS,4h_SMA150_SLOPE_BPS,1d_EMA21_SLOPE_BPS,1d_SMA40_SLOPE_BPS,1d_SMA50_SLOPE_BPS,1d_SMA150_SLOPE_BPS,1h_ma21_dir,1h_ma40_dir,1h_ma50_dir,1h_ma150_dir,4h_ma21_dir,4h_ma40_dir,4h_ma50_dir,4h_ma150_dir,1d_ma21_dir,1d_ma40_dir,1d_ma50_dir,1d_ma150_dir
1INCHUSDT,-612.5555756840204,-483.12897660873125,-446.5923837651581,174.22176909629616,500.40317928138205,645.1188935619532,499.8998437562594,-276.2990216229538,2009.2164791947705,1720.838239833541,2018.7797813697096,3.2061103355887024,↓,↓,↓,↑,↑,↑,↑,↓,↑,↑,↑,→
1MBABYDOGEUSDT,-345.32061803426126,-291.7898851733477,-315.88181974508785,278.03133244565277,1198.7293332394354,1207.7832345189686,949.8323719612301,-260.6755684480934,-1165.974742535073,-1684.922539112185,-1460.268173696945,-1292.6031557449319,↓,↓,↓,↑,↑,↑,↑,↓,↓,↓,↓,↓
A2ZUSDT,-651.4191318221007,-401.4582819371186,-375.58980811575964,106.59093699455158,957.3090229776193,1406.7535759550988,1424.5848674923232,-379.9804369090332,33274.397551454895,37209.17918408984,36812.23184335752,11296.052121306137,↓,↓,↓,↑,↑,↑,↑,↓,↑,↑,↑,↑
AAVEUSDT,-676.0258941721147,-609.2637050066152,-531.4646663530824,15.210499171408227,-599.8870994099343,-477.74718257651847,-660.9497191624677,65.65246398325012,2174.6970619218273,3292.3419770931305,3732.650647427339,2227.7371325655645,↓,↓,↓,→,↓,↓,↓,↑,↑,↑,↑,↑
ACAUSDT,-487.15565078237387,-388.783191330964,-383.4162520729688,67.62069507784302,-198.8847508961042,-103.51966873705898,-227.3769739859785,-133.450976067057,-249.25712657205423,-678.690818627069,-934.8494161032564,-3421.722934672183,↓,↓,↓,↑,↓,↓,↓,↓,↓,↓,↓,↓
ACEUSDT,-893.3456690929215,-753.1202905831001,-736.9723210143812,1240.0782104699622,1601.143342741533,2149.9929646827054,1612.3766416858327,8.281026847329356,-408.27436697599603,-1312.0305141478239,-1365.9054037189562,-3093.768569504417,↓,↓,↓,↑,↑,↑,↑,→,↓,↓,↓,↓
ACHUSDT,-502.1882870626562,-331.2273814635337,-291.98377209866925,122.16258055831462,-148.33595371788758,-121.1949352106422,-268.54020296643387,-641.1963247702976,-1103.5181093929525,-1631.7283324885948,-1768.4859364698602,-1569.206526711737,↓,↓,↓,↑,↓,↓,↓,↓,↓,↓,↓,↓
ACMUSDT,-432.410691702937,-337.4183880980404,-313.70614975555435,-80.3741258241234,-476.1104832872674,-426.2753319357112,-565.126093249882,-890.1339515713543,790.9377211996148,858.6275156713968,969.914683430622,-1000.9877505493096,↓,↓,↓,↓,↓,↓,↓,↓,↑,↑,↑,↓
ACTUSDT,-189.89467926443226,-244.47753785058325,-261.46742948911003,313.39975919172036,-95.47243655015865,-156.25976623539157,-330.4356416082186,-594.1447079669027,-2837.998033929435,-3219.2248591429056,-3215.594915892973,-6449.014352628811,↓,↓,↓,↑,↓,↓,↓,↓,↓,↓,↓,↓
ACXUSDT,-1139.9612843256693,-802.1218725187076,-744.0236734805203,192.5446411646509,-1222.7622701485293,-1099.4292113162378,-1354.977617750097,-1464.3593953938778,-2724.434901336658,-2746.917084913587,-2731.3371802444453,-3343.447183817183,↓,↓,↓,↑,↓,↓,↓,↓,↓,↓,↓,↓
